Nombre,Categoría
Ensalada pasta gourmet 1x5kg,Preparados con verduras
Ensaladilla 4x2'5kg,Preparados con verduras
Revuelto gambas ajetes y trigueros 4x2'5kg,Preparados con verduras
Revuelto setas champiñones y gambas 6x1kg,Preparados con verduras
Salteado campero 6x1kg,Preparados con verduras
Salteado campestre 10x1kg,Preparados con verduras
Salteado clásico 6x1kg,Preparados con verduras
Salteado granja c/pollo 2x2.5kg,Preparados con verduras
Salteado mediterráneo 6x1kg,Preparados con verduras
Salteado montañés 4x1kg,Preparados con verduras
Salteado thai 6x1kg,Preparados con verduras
Sofrito 4x2'5kg,Preparados con verduras
Sopa de verdura 4x1'5kg,Preparados con verduras
Anchoa en aceite 550g,Ahumados
Arenque ahumado en filetes 700g,Ahumados
Atún ahumado 1 kg,Ahumados
Bacalao ahumado,Ahumados
Bacalao ahumado plancha,Ahumados
Bacon ahumado molde,Ahumados
Boquerón vinagre 700g,Ahumados
Huevas de lumpo negras 1b,Ahumados
Mojama extra,Ahumados
Palometa ahumada 700g,Ahumados
Redondo de ternera,Ahumados
Salmón ahumado laminado,Ahumados
Sardinas barriquetes 70/80 unid,Ahumados
Bacon loncheado,Embutidos
Butifarra cruda,Embutidos
Callos 4x2'5kgs.,Embutidos
Chistorras,Embutidos
Chopped pork,Embutidos
Chorizo barbacoa,Embutidos
Chorizo criollo,Embutidos
Chorizo extra,Embutidos
Fiambre de magro 11x11kg,Embutidos
Fiambre lomo al horno,Embutidos
Fiambre magreta cocida,Embutidos
Lomo adobado 500gr,Embutidos
Lomo Sajonia,Embutidos
Morcilla de cebolla,Embutidos
Mortadela con aceitunas,Embutidos
Mortadela siliciana,Embutidos
Paleta york sándwich 1kg,Embutidos
Paté sabores 1'5kg,Embutidos
Pechuga de pavo barra 11x11,Embutidos
Salami extra,Embutidos
Salchichón jabugo extra,Embutidos
Aceitunas bote cristal 6x500g,Encurtidos
Aceitunas verdes partidas cubo 5kg,Encurtidos
Alcaparras cubo 5kg,Encurtidos
Banderillas picantes 7kg,Encurtidos
Cebollitas cubo 5kg,Encurtidos
Fuet extra XL,Encurtidos
Jamón cocido extra,Encurtidos
Jamón curado deshuesado,Encurtidos
Pepinillos cubo 5kg,Encurtidos
Revuelto cubo 7kg,Encurtidos
Aceite alto oleico 25L,Productos no perecederos
Aceite girasol 25L,Productos no perecederos
Aceite oliva 5L,Productos no perecederos
Aceite suave 5L,Productos no perecederos
Alcachofa corazones 6x3kg,Productos no perecederos
Alubia 20x1kg,Productos no perecederos
Arroz redondo grandeza 20x1kg,Productos no perecederos
Atún en aceite bolsa 16x1kg,Productos no perecederos
Atún girasol lata 900g,Productos no perecederos
Caballa lata 900g,Productos no perecederos
Champiñón laminados lata 6x2500g,Productos no perecederos
Crema balsámica de Módena 4x1000ml,Productos no perecederos
Espagueti nº12 12x1kg,Productos no perecederos
Espárrago extra 17/24 12x1kg,Productos no perecederos
Espirales 5kg,Productos no perecederos
Fideuá 5kg,Productos no perecederos
Garbanzos cocidos en lata 6x2500g,Productos no perecederos
Garbanzos manteca 20x1kg,Productos no perecederos
Harina de freír 10kg,Productos no perecederos
Lentejas en lata 6x3kg,Productos no perecederos
Lentejas pardinas 20x1kg,Productos no perecederos
Macarrones 5kg,Productos no perecederos
Maíz dulce en lata 6x2500g,Productos no perecederos
Mandarinas en almíbar 3kg,Productos no perecederos
Melocotón en almíbar,Productos no perecederos
Melocotón mitades 6x3kg,Productos no perecederos
Melva aceite girasol 1kg,Productos no perecederos
Miel cubo 5kg,Productos no perecederos
Peras en almíbar mitades 6x2500g,Productos no perecederos
Pimientos asados 8x1kg,Productos no perecederos
Piña en almíbar 6x3kg,Productos no perecederos
Remolacha rallada 6x2500g,Productos no perecederos
Remolacha roja rodajas 6x2500g,Productos no perecederos
Sardinas lata,Productos no perecederos
Tallarines 5kg,Productos no perecederos
Macarrones de tiburones 5kg,Productos no perecederos
Tomate entero 6x4000g,Productos no perecederos
Tomate frito en lata 6x2500g,Productos no perecederos
Tomate triturado 6x4000g,Productos no perecederos
Ventresca de atún en aceite 12x900g,Productos no perecederos
Vino blanco brik 1x12L,Productos no perecederos
Wakame algas 1kg,Productos no perecederos
Burritos chili carne 60x100g,Temáticos
Canelones a granel 100 unid,Temáticos
Canelones atún 120 unid,Temáticos
Canelones carne sin gluten 12x300g,Temáticos
Canelones de espinacas 108 unid,Temáticos
Enchilada 60x100g,Temáticos
Lasaña atún 3x2kg,Temáticos
Lasaña gratinada 3x2kg,Temáticos
Lasaña vegetal 12x300g,Temáticos
Lasaña gratinada 12x300g,Temáticos
Lasaña vegetal 3x2kg,Temáticos
Mini burrito 52g x 144 unid,Temáticos
Mini rollito primavera 200 unid,Temáticos
Moussaka 12x300g,Temáticos
Moussaka 3x2kg,Temáticos
Mozzarella sticks con jalapeño 6x1kg,Temáticos
Nuggets chili cheddar 5x1kg,Temáticos
Nuggets cheddar con jalapeño 6x1kg,Temáticos
Palitos mozzarella 6x1kg,Temáticos
Quesadilla de jamón 50x100g,Temáticos
Ravioli boletus 2x2kg,Temáticos
Ravioli ricota y espinacas 1x4kg,Temáticos
Rollitos primavera 1x100unid,Temáticos
Tacos pollo 60x100g,Temáticos
Tortellini 4 quesos 4kg,Temáticos
Tortellini carne 1x4kg,Temáticos
Tortellini ricotta y espinaca 4kg,Temáticos
Tortellini york y queso 1x4kg,Temáticos
Sushi variado,Preparados y pizzas
Baguetes especiales 1x6,Preparados y pizzas
Bocapizza 1x6unid,Preparados y pizzas
Base pizza c/tomate 6x250gr,Preparados y pizzas
Base pizza cuadrada 1x6unid,Preparados y pizzas
Bases de pizza 30x40 20unid,Preparados y pizzas
Paninis jamón york 1x4kgr,Preparados y pizzas
Pizza catering margarita cuadrada,Preparados y pizzas
Pizzas cuadradas 6 unidades,Preparados y pizzas
Pizzas redondas 25cm 7 unidades,Preparados y pizzas
Nata culinaria brik 6x1L,Nata
